,Pclass,Sex,Age,SibSp,Parch,Survived
332,3,1,28,0,0,0
333,3,0,19,1,1,0
334,3,1,27,0,0,0
335,1,1,30,0,0,0
336,2,1,32,0,0,0
337,3,1,39,0,2,0
338,2,1,25,0,0,0
339,3,1,28,0,0,0
340,2,1,18,0,0,0
341,3,1,32,0,0,0
342,3,1,28,1,9,0
343,1,0,58,0,1,0
344,3,1,28,1,1,0
345,3,0,16,0,0,0
346,2,1,26,0,0,0
347,3,0,38,0,0,0
348,2,1,24,0,0,0
349,2,0,31,0,0,0
350,1,0,45,0,1,0
351,2,1,25,0,0,0
352,2,1,18,0,0,0
353,2,1,49,1,2,0
354,3,0,0,1,2,0
355,1,1,50,0,0,0
356,1,0,59,2,0,0
357,3,1,28,0,0,0
358,3,1,28,0,0,0
359,3,0,30,1,0,0
360,3,1,14,8,2,0
361,2,0,24,1,1,0
362,2,0,31,0,0,0
363,3,1,27,0,0,0
364,1,0,25,1,0,0
365,3,0,28,1,9,0
366,3,1,28,1,0,0
367,3,0,22,0,0,0
368,1,0,45,0,1,0
369,2,1,29,0,0,0
370,2,1,21,1,0,0
371,1,0,31,0,0,0
372,1,1,49,0,0,0
373,2,1,44,0,0,0
374,1,0,54,1,1,0
375,1,0,45,0,0,0
376,3,0,22,2,0,0
377,2,1,21,0,0,0
378,1,1,55,0,0,0
379,3,1,5,4,2,0
380,3,1,28,0,0,0
381,3,1,26,0,0,0
382,3,0,28,0,0,0
383,3,0,19,1,0,0
384,2,1,28,0,0,0
385,2,0,24,1,2,0
386,3,1,24,0,0,0
387,2,1,57,0,0,0
388,3,1,21,0,0,0
389,3,1,6,3,1,0
390,1,1,23,0,0,0
391,1,0,51,0,1,0
392,3,1,13,0,2,0
393,2,1,47,0,0,0
394,3,1,29,3,1,0
395,1,0,18,1,0,0
396,3,1,24,0,0,0
397,1,0,48,1,1,0
398,3,1,22,0,0,0
399,3,1,31,0,0,0
400,1,0,30,0,0,0
401,2,1,38,1,0,0
402,1,0,22,0,1,0
403,1,1,17,0,0,0
404,1,1,43,1,0,0
405,2,1,20,0,0,0
406,2,1,23,1,0,0
407,1,1,50,1,1,0
408,3,0,28,0,0,0
409,3,0,3,1,1,0
410,3,0,28,0,0,0
411,1,0,37,1,0,0
412,3,0,28,0,0,0
413,3,1,28,0,0,0
414,1,0,39,0,0,0
415,3,1,38,0,0,0
416,3,1,28,0,0,0
417,3,1,28,1,1,0
0,3,1,22,1,0,0
1,1,0,38,1,0,1
2,3,0,26,0,0,1
3,1,0,35,1,0,1
4,3,1,35,0,0,0
5,3,1,28,0,0,0
6,1,1,54,0,0,0
7,3,1,2,3,1,0
8,3,0,27,0,2,1
9,2,0,14,1,0,1
10,3,0,4,1,1,1
11,1,0,58,0,0,1
12,3,1,20,0,0,0
13,3,1,39,1,5,0
14,3,0,14,0,0,0
15,2,0,55,0,0,1
16,3,1,2,4,1,0
17,2,1,28,0,0,1
18,3,0,31,1,0,0
19,3,0,28,0,0,1
20,2,1,35,0,0,0
21,2,1,34,0,0,1
22,3,0,15,0,0,1
23,1,1,28,0,0,1
24,3,0,8,3,1,0
25,3,0,38,1,5,1
26,3,1,28,0,0,0
27,1,1,19,3,2,0
28,3,0,28,0,0,1
29,3,1,28,0,0,0
30,1,1,40,0,0,0
31,1,0,28,1,0,1
32,3,0,28,0,0,1
33,2,1,66,0,0,0
34,1,1,28,1,0,0
35,1,1,42,1,0,0
36,3,1,28,0,0,1
37,3,1,21,0,0,0
38,3,0,18,2,0,0
39,3,0,14,1,0,1
40,3,0,40,1,0,0
41,2,0,27,1,0,0
42,3,1,28,0,0,0
43,2,0,3,1,2,1
44,3,0,19,0,0,1
45,3,1,28,0,0,0
46,3,1,28,1,0,0
47,3,0,28,0,0,1
48,3,1,28,2,0,0
49,3,0,18,1,0,0
50,3,1,7,4,1,0
51,3,1,21,0,0,0
52,1,0,49,1,0,1
53,2,0,29,1,0,1
54,1,1,65,0,1,0
55,1,1,28,0,0,1
56,2,0,21,0,0,1
57,3,1,28,0,0,0
58,2,0,5,1,2,1
59,3,1,11,5,2,0
60,3,1,22,0,0,0
61,1,0,38,0,0,1
62,1,1,45,1,0,0
63,3,1,4,3,2,0
64,1,1,28,0,0,0
65,3,1,28,1,1,1
66,2,0,29,0,0,1
67,3,1,19,0,0,0
68,3,0,17,4,2,1
69,3,1,26,2,0,0
70,2,1,32,0,0,0
71,3,0,16,5,2,0
72,2,1,21,0,0,0
73,3,1,26,1,0,0
74,3,1,32,0,0,1
75,3,1,25,0,0,0
76,3,1,28,0,0,0
77,3,1,28,0,0,0
78,2,1,0,0,2,1
79,3,0,30,0,0,1
80,3,1,22,0,0,0
81,3,1,29,0,0,1
82,3,0,28,0,0,1
83,1,1,28,0,0,0
84,2,0,17,0,0,1
85,3,0,33,3,0,1
86,3,1,16,1,3,0
87,3,1,28,0,0,0
88,1,0,23,3,2,1
89,3,1,24,0,0,0
90,3,1,29,0,0,0
91,3,1,20,0,0,0
92,1,1,46,1,0,0
93,3,1,26,1,2,0
94,3,1,59,0,0,0
95,3,1,28,0,0,0
96,1,1,71,0,0,0
97,1,1,23,0,1,1
98,2,0,34,0,1,1
99,2,1,34,1,0,0
100,3,0,28,0,0,0
101,3,1,28,0,0,0
102,1,1,21,0,1,0
103,3,1,33,0,0,0
104,3,1,37,2,0,0
105,3,1,28,0,0,0
106,3,0,21,0,0,1
107,3,1,28,0,0,1
108,3,1,38,0,0,0
109,3,0,28,1,0,1
110,1,1,47,0,0,0
111,3,0,14,1,0,0
112,3,1,22,0,0,0
113,3,0,20,1,0,0
114,3,0,17,0,0,0
115,3,1,21,0,0,0
116,3,1,70,0,0,0
117,2,1,29,1,0,0
118,1,1,24,0,1,0
119,3,0,2,4,2,0
120,2,1,21,2,0,0
121,3,1,28,0,0,0
122,2,1,32,1,0,0
123,2,0,32,0,0,1
124,1,1,54,0,1,0
125,3,1,12,1,0,1
126,3,1,28,0,0,0
127,3,1,24,0,0,1
128,3,0,28,1,1,1
129,3,1,45,0,0,0
130,3,1,33,0,0,0
131,3,1,20,0,0,0
132,3,0,47,1,0,0
133,2,0,29,1,0,1
134,2,1,25,0,0,0
135,2,1,23,0,0,0
136,1,0,19,0,2,1
137,1,1,37,1,0,0
138,3,1,16,0,0,0
139,1,1,24,0,0,0
140,3,0,28,0,2,0
141,3,0,22,0,0,1
142,3,0,24,1,0,1
143,3,1,19,0,0,0
144,2,1,18,0,0,0
145,2,1,19,1,1,0
146,3,1,27,0,0,1
147,3,0,9,2,2,0
148,2,1,36,0,2,0
149,2,1,42,0,0,0
150,2,1,51,0,0,0
151,1,0,22,1,0,1
152,3,1,55,0,0,0
153,3,1,40,0,2,0
154,3,1,28,0,0,0
155,1,1,51,0,1,0
156,3,0,16,0,0,1
157,3,1,30,0,0,0
158,3,1,28,0,0,0
159,3,1,28,8,2,0
160,3,1,44,0,1,0
161,2,0,40,0,0,1
162,3,1,26,0,0,0
163,3,1,17,0,0,0
164,3,1,1,4,1,0
165,3,1,9,0,2,1
166,1,0,28,0,1,1
167,3,0,45,1,4,0
168,1,1,28,0,0,0
169,3,1,28,0,0,0
170,1,1,61,0,0,0
171,3,1,4,4,1,0
172,3,0,1,1,1,1
173,3,1,21,0,0,0
174,1,1,56,0,0,0
175,3,1,18,1,1,0
176,3,1,28,3,1,0
177,1,0,50,0,0,0
178,2,1,30,0,0,0
179,3,1,36,0,0,0
180,3,0,28,8,2,0
181,2,1,28,0,0,0
182,3,1,9,4,2,0
183,2,1,1,2,1,1
184,3,0,4,0,2,1
185,1,1,28,0,0,0
186,3,0,28,1,0,1
187,1,1,45,0,0,1
188,3,1,40,1,1,0
189,3,1,36,0,0,0
190,2,0,32,0,0,1
191,2,1,19,0,0,0
192,3,0,19,1,0,1
193,2,1,3,1,1,1
194,1,0,44,0,0,1
195,1,0,58,0,0,1
196,3,1,28,0,0,0
197,3,1,42,0,1,0
198,3,0,28,0,0,1
199,2,0,24,0,0,0
200,3,1,28,0,0,0
201,3,1,28,8,2,0
202,3,1,34,0,0,0
203,3,1,45,0,0,0
204,3,1,18,0,0,1
205,3,0,2,0,1,0
206,3,1,32,1,0,0
207,3,1,26,0,0,1
208,3,0,16,0,0,1
209,1,1,40,0,0,1
210,3,1,24,0,0,0
211,2,0,35,0,0,1
212,3,1,22,0,0,0
213,2,1,30,0,0,0
214,3,1,28,1,0,0
215,1,0,31,1,0,1
216,3,0,27,0,0,1
217,2,1,42,1,0,0
218,1,0,32,0,0,1
219,2,1,30,0,0,0
220,3,1,16,0,0,1
221,2,1,27,0,0,0
222,3,1,51,0,0,0
223,3,1,28,0,0,0
224,1,1,38,1,0,1
225,3,1,22,0,0,0
226,2,1,19,0,0,1
227,3,1,20,0,0,0
228,2,1,18,0,0,0
229,3,0,28,3,1,0
230,1,0,35,1,0,1
231,3,1,29,0,0,0
232,2,1,59,0,0,0
233,3,0,5,4,2,1
234,2,1,24,0,0,0
235,3,0,28,0,0,0
236,2,1,44,1,0,0
237,2,0,8,0,2,1
238,2,1,19,0,0,0
239,2,1,33,0,0,0
240,3,0,28,1,0,0
241,3,0,28,1,0,1
242,2,1,29,0,0,0
243,3,1,22,0,0,0
244,3,1,30,0,0,0
245,1,1,44,2,0,0
246,3,0,25,0,0,0
247,2,0,24,0,2,1
248,1,1,37,1,1,1
249,2,1,54,1,0,0
250,3,1,28,0,0,0
251,3,0,29,1,1,0
252,1,1,62,0,0,0
253,3,1,30,1,0,0
254,3,0,41,0,2,0
255,3,0,29,0,2,1
256,1,0,28,0,0,1
257,1,0,30,0,0,1
258,1,0,35,0,0,1
259,2,0,50,0,1,1
260,3,1,28,0,0,0
261,3,1,3,4,2,1
262,1,1,52,1,1,0
263,1,1,40,0,0,0
264,3,0,28,0,0,0
265,2,1,36,0,0,0
266,3,1,16,4,1,0
267,3,1,25,1,0,1
268,1,0,58,0,1,1
269,1,0,35,0,0,1
270,1,1,28,0,0,0
271,3,1,25,0,0,1
272,2,0,41,0,1,1
273,1,1,37,0,1,0
274,3,0,28,0,0,1
275,1,0,63,1,0,1
276,3,0,45,0,0,0
277,2,1,28,0,0,0
278,3,1,7,4,1,0
279,3,0,35,1,1,1
280,3,1,65,0,0,0
281,3,1,28,0,0,0
282,3,1,16,0,0,0
283,3,1,19,0,0,1
284,1,1,28,0,0,0
285,3,1,33,0,0,0
286,3,1,30,0,0,1
287,3,1,22,0,0,0
288,2,1,42,0,0,1
289,3,0,22,0,0,1
290,1,0,26,0,0,1
291,1,0,19,1,0,1
292,2,1,36,0,0,0
293,3,0,24,0,0,0
294,3,1,24,0,0,0
295,1,1,28,0,0,0
296,3,1,23,0,0,0
297,1,0,2,1,2,0
298,1,1,28,0,0,1
299,1,0,50,0,1,1
300,3,0,28,0,0,1
301,3,1,28,2,0,1
302,3,1,19,0,0,0
303,2,0,28,0,0,1
304,3,1,28,0,0,0
305,1,1,0,1,2,1
306,1,0,28,0,0,1
307,1,0,17,1,0,1
308,2,1,30,1,0,0
309,1,0,30,0,0,1
310,1,0,24,0,0,1
311,1,0,18,2,2,1
312,2,0,26,1,1,0
313,3,1,28,0,0,0
314,2,1,43,1,1,0
315,3,0,26,0,0,1
316,2,0,24,1,0,1
317,2,1,54,0,0,0
318,1,0,31,0,2,1
319,1,0,40,1,1,1
320,3,1,22,0,0,0
321,3,1,27,0,0,0
322,2,0,30,0,0,1
323,2,0,22,1,1,1
324,3,1,28,8,2,0
325,1,0,36,0,0,1
326,3,1,61,0,0,0
327,2,0,36,0,0,1
328,3,0,31,1,1,1
329,1,0,16,0,1,1
330,3,0,28,2,0,1
331,1,1,45,0,0,0
332,1,1,38,0,1,0
333,3,1,16,2,0,0
334,1,0,28,1,0,1
335,3,1,28,0,0,0
336,1,1,29,1,0,0
337,1,0,41,0,0,1
338,3,1,45,0,0,1
339,1,1,45,0,0,0
340,2,1,2,1,1,1
341,1,0,24,3,2,1
342,2,1,28,0,0,0
343,2,1,25,0,0,0
344,2,1,36,0,0,0
345,2,0,24,0,0,1
346,2,0,40,0,0,1
347,3,0,28,1,0,1
348,3,1,3,1,1,1
349,3,1,42,0,0,0
350,3,1,23,0,0,0
351,1,1,28,0,0,0
352,3,1,15,1,1,0
353,3,1,25,1,0,0
354,3,1,28,0,0,0
355,3,1,28,0,0,0
356,1,0,22,0,1,1
357,2,0,38,0,0,0
358,3,0,28,0,0,1
359,3,0,28,0,0,1
360,3,1,40,1,4,0
361,2,1,29,1,0,0
362,3,0,45,0,1,0
363,3,1,35,0,0,0
364,3,1,28,1,0,0
365,3,1,30,0,0,0
366,1,0,60,1,0,1
367,3,0,28,0,0,1
368,3,0,28,0,0,1
369,1,0,24,0,0,1
370,1,1,25,1,0,1
371,3,1,18,1,0,0
372,3,1,19,0,0,0
373,1,1,22,0,0,0
374,3,0,3,3,1,0
375,1,0,28,1,0,1
376,3,0,22,0,0,1
377,1,1,27,0,2,0
378,3,1,20,0,0,0
379,3,1,19,0,0,0
380,1,0,42,0,0,1
381,3,0,1,0,2,1
382,3,1,32,0,0,0
383,1,0,35,1,0,1
384,3,1,28,0,0,0
385,2,1,18,0,0,0
386,3,1,1,5,2,0
387,2,0,36,0,0,1
388,3,1,28,0,0,0
389,2,0,17,0,0,1
390,1,1,36,1,2,1
391,3,1,21,0,0,1
392,3,1,28,2,0,0
393,1,0,23,1,0,1
394,3,0,24,0,2,1
395,3,1,22,0,0,0
396,3,0,31,0,0,0
397,2,1,46,0,0,0
398,2,1,23,0,0,0
399,2,0,28,0,0,1
400,3,1,39,0,0,1
401,3,1,26,0,0,0
402,3,0,21,1,0,0
403,3,1,28,1,0,0
404,3,0,20,0,0,0
405,2,1,34,1,0,0
406,3,1,51,0,0,0
407,2,1,3,1,1,1
408,3,1,21,0,0,0
409,3,0,28,3,1,0
410,3,1,28,0,0,0
411,3,1,28,0,0,0
412,1,0,33,1,0,1
413,2,1,28,0,0,0
414,3,1,44,0,0,1
415,3,0,28,0,0,0
416,2,0,34,1,1,1
417,2,0,18,0,2,1
418,2,1,30,0,0,0
419,3,0,10,0,2,0
420,3,1,28,0,0,0
421,3,1,21,0,0,0
422,3,1,29,0,0,0
423,3,0,28,1,1,0
424,3,1,18,1,1,0
425,3,1,28,0,0,0
426,2,0,28,1,0,1
427,2,0,19,0,0,1
428,3,1,28,0,0,0
429,3,1,32,0,0,1
430,1,1,28,0,0,1
431,3,0,28,1,0,1
432,2,0,42,1,0,1
433,3,1,17,0,0,0
434,1,1,50,1,0,0
435,1,0,14,1,2,1
436,3,0,21,2,2,0
437,2,0,24,2,3,1
438,1,1,64,1,4,0
439,2,1,31,0,0,0
440,2,0,45,1,1,1
441,3,1,20,0,0,0
442,3,1,25,1,0,0
443,2,0,28,0,0,1
444,3,1,28,0,0,1
445,1,1,4,0,2,1
446,2,0,13,0,1,1
447,1,1,34,0,0,1
448,3,0,5,2,1,1
449,1,1,52,0,0,1
450,2,1,36,1,2,0
451,3,1,28,1,0,0
452,1,1,30,0,0,0
453,1,1,49,1,0,1
454,3,1,28,0,0,0
455,3,1,29,0,0,1
456,1,1,65,0,0,0
457,1,0,28,1,0,1
458,2,0,50,0,0,1
459,3,1,28,0,0,0
460,1,1,48,0,0,1
461,3,1,34,0,0,0
462,1,1,47,0,0,0
463,2,1,48,0,0,0
464,3,1,28,0,0,0
465,3,1,38,0,0,0
466,2,1,28,0,0,0
467,1,1,56,0,0,0
468,3,1,28,0,0,0
469,3,0,0,2,1,1
470,3,1,28,0,0,0
471,3,1,38,0,0,0
472,2,0,33,1,2,1
473,2,0,23,0,0,1
474,3,0,22,0,0,0
475,1,1,28,0,0,0
476,2,1,34,1,0,0
477,3,1,29,1,0,0
478,3,1,22,0,0,0
479,3,0,2,0,1,1
480,3,1,9,5,2,0
481,2,1,28,0,0,0
482,3,1,50,0,0,0
483,3,0,63,0,0,1
484,1,1,25,1,0,1
485,3,0,28,3,1,0
486,1,0,35,1,0,1
487,1,1,58,0,0,0
488,3,1,30,0,0,0
489,3,1,9,1,1,1
490,3,1,28,1,0,0
491,3,1,21,0,0,0
492,1,1,55,0,0,0
493,1,1,71,0,0,0
494,3,1,21,0,0,0
495,3,1,28,0,0,0
496,1,0,54,1,0,1
497,3,1,28,0,0,0
498,1,0,25,1,2,0
499,3,1,24,0,0,0
500,3,1,17,0,0,0
501,3,0,21,0,0,0
502,3,0,28,0,0,0
503,3,0,37,0,0,0
504,1,0,16,0,0,1
505,1,1,18,1,0,0
506,2,0,33,0,2,1
507,1,1,28,0,0,1
508,3,1,28,0,0,0
509,3,1,26,0,0,1
510,3,1,29,0,0,1
511,3,1,28,0,0,0
512,1,1,36,0,0,1
513,1,0,54,1,0,1
514,3,1,24,0,0,0
515,1,1,47,0,0,0
516,2,0,34,0,0,1
517,3,1,28,0,0,0
518,2,0,36,1,0,1
519,3,1,32,0,0,0
520,1,0,30,0,0,1
521,3,1,22,0,0,0
522,3,1,28,0,0,0
523,1,0,44,0,1,1
524,3,1,28,0,0,0
525,3,1,40,0,0,0
526,2,0,50,0,0,1
527,1,1,28,0,0,0
528,3,1,39,0,0,0
529,2,1,23,2,1,0
530,2,0,2,1,1,1
531,3,1,28,0,0,0
532,3,1,17,1,1,0
533,3,0,28,0,2,1
534,3,0,30,0,0,0
535,2,0,7,0,2,1
536,1,1,45,0,0,0
537,1,0,30,0,0,1
538,3,1,28,0,0,0
539,1,0,22,0,2,1
540,1,0,36,0,2,1
541,3,0,9,4,2,0
542,3,0,11,4,2,0
543,2,1,32,1,0,1
544,1,1,50,1,0,0
545,1,1,64,0,0,0
546,2,0,19,1,0,1
547,2,1,28,0,0,1
548,3,1,33,1,1,0
549,2,1,8,1,1,1
550,1,1,17,0,2,1
551,2,1,27,0,0,0
552,3,1,28,0,0,0
553,3,1,22,0,0,1
554,3,0,22,0,0,1
555,1,1,62,0,0,0
556,1,0,48,1,0,1
557,1,1,28,0,0,0
558,1,0,39,1,1,1
559,3,0,36,1,0,1
560,3,1,28,0,0,0
561,3,1,40,0,0,0
562,2,1,28,0,0,0
563,3,1,28,0,0,0
564,3,0,28,0,0,0
565,3,1,24,2,0,0
566,3,1,19,0,0,0
567,3,0,29,0,4,0
568,3,1,28,0,0,0
569,3,1,32,0,0,1
570,2,1,62,0,0,1
571,1,0,53,2,0,1
572,1,1,36,0,0,1
573,3,0,28,0,0,1
574,3,1,16,0,0,0
575,3,1,19,0,0,0
576,2,0,34,0,0,1
577,1,0,39,1,0,1
